name,number,travel_warning
네덜란드,21,특별여행주의보 - 전 지역!@#
노르웨이,23,특별여행주의보 - 전 지역!@#
뉴질랜드,25,특별여행주의보 - 전 지역!@#
대만,372,특별여행주의보 - 전 지역!@#
덴마크,31,특별여행주의보 - 전 지역!@#
독일,34,특별여행주의보 - 전 지역!@#
러시아,39,"철수권고 - 북카프카즈 지역 : 체첸, 다게스탄, 세베로오세티야(북오세티아), 카바르디노발카르(카바르티노-발카리야 공화국), 잉귀쉬(잉구세티아), 카라차예보체르케스카야(까라차이-체르케스), 아디게이(아디게야)!@#특별여행주의보 - 적색경보 지정 지역을 제외한 전지역!@#"
리투아니아,345,특별여행주의보 - 전 지역!@#
말레이시아,56,철수권고 - 사바주 동부도서 지역 및 동부해안!@#특별여행주의보 - 전 지역!@#
멕시코,58,특별여행주의보 - 전 지역!@#
미국,69,특별여행주의보 - 전 지역!@#
벨기에,87,특별여행주의보 - 전 지역!@#
브라질,104,특별여행주의보 - 전 지역!@#
스웨덴,126,특별여행주의보 - 전 지역!@#
스위스,127,특별여행주의보 - 전 지역!@#
스페인,128,특별여행주의보 - 전 지역!@#
싱가포르,134,특별여행주의보 - 전 지역!@#
아이슬란드,139,특별여행주의보 - 전 지역!@#
아일랜드,141,특별여행주의보 - 전 지역!@#
영국,159,특별여행주의보 - 전 지역!@#
오스트리아,163,특별여행주의보 - 전 지역!@#
우루과이,167,특별여행주의보 - 전 지역!@#
이탈리아,179,특별여행주의보 - 전지역!@#
인도네시아,181,특별여행주의보 - 전 지역!@#
일본,183,철수권고 - 후쿠시마 원전 반경 30km 이내 및 일본 정부 지정 피난지시구역!@#특별여행주의보 - 적색경보 지정 지역을 제외한 전지역!@#
중국,189,철수권고 - 후베이성(우한시 포함)!@#특별여행주의보 - 적색경보 지정 지역을 제외한 전지역!@#
체코,195,특별여행주의보 - 전 지역!@#
칠레,197,특별여행주의보 - 전 지역!@#
캐나다,204,특별여행주의보 - 전 지역!@#
크로아티아,218,특별여행주의보 - 전 지역!@#
태국,260,"철수권고 - 나라티왓 주, 파타니 주, 얄라 주, 송클라 주 남부 말레이시아 국경지역!@#특별여행주의보 - 적색경보 지정 지역을 제외한 전지역!@#"
터키,228,"철수권고 - 가지안테프, 디야르바커, 마르딘, 반, 바트만, 비트리스, 빙골, 산리우르파, 시르낙, 시르트, 엘라지, 킬리스, 툰셀리, 하카리, 시리아의 국경 10km 이내 지역(히타이)!@#특별여행주의보 - 적색경보 지정 지역을 제외한 전지역!@#"
폴란드,246,특별여행주의보 - 전 지역!@#
프랑스,248,특별여행주의보 - 전 지역!@#
핀란드,251,특별여행주의보 - 전 지역!@#
호주,255,특별여행주의보 - 전 지역!@#
